country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.5,,,,,63.3,,,,67.4,,,75,,,,,,78.4,,,,78.9,
Maldives,,,,,,,,82.4,,,,,,,,92.1,,,,,95.9,,,,,96.2,,,,,96.2,,,,,,98.4,,,,,,,,98.5,,97.3,,,,,97.6,,
Mexico,,,,,,,,,,,86.2,,,,,,,,,,90.3,,,,,,,,,,92.6,,92,,92.4,93.2,93.9,94.4,94.6,94.9,94.4,94.8,95.4,95.1,95.6,95.5,95.8,95.9,96.2,,96.1,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,97.2,,,,,,,,98.2,,,,,,,,,,98.7,,,,,,,,,,,
Mali,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,26.7,,,,,32.7,,,34.9,,,,43.4,43.5,,,,45.1,,,46.2,,40.4,,,
Malta,,,,,,,,,,,,,,,,86.6,,,,,,,,,,86.4,,,,,,,,,,91.2,,,,,,91.8,,,,,,,,,,93.4,,
Myanmar,,,,,,,,,,,,,,85.8,,,,,,,,,,,,,,,,,93.9,,,,,,,,,,,,,,,,80,,,92.4,,,,
Montenegro,,,,,,,,,,,,96.3,,,,,,,,,,89.3,,,,,,,,,,,,99.3,,,,,,,,99.4,,,,,,,,,,99.5,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,98.2,,,,,,,,,,99.1,,,
Mozambique,,,,,,,,,,,43.8,,,,,,,,,,,,,,,,,54.8,,,,,,65.6,,,,,,67.4,,,,,,70.8,,72.6,,,72.5,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5,,,,,,,57.4,,,,,,68,,,,,,,,71.8,,
Mauritius,,,,,,,,,,,,,,,,,,,,,85.1,,,,,,,,,,88.2,,,,,,,,,,,92,94.7,94,94.8,94.9,95.4,,,,,93.9,,
Malawi,,,,,,,,,,,,,,,,,,65.3,,,,,,,,,,,74.9,,,,,,,,,,,,72.1,,,,76,69.8,,,,,,,71.4,
Malaysia,,,,,,,,,,,78.1,,,,,,,,,,,88.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,77.8,,,,,,,,,,86.6,,,,,,74.3,,,,88.6,,,,,,,,,,92.2,,
New Caledonia,,,,,,,92.2,,,,,,,,,,,,,94,,,,,,,96.8,,,,,,,,,,97.8,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,,,,42.9,,,,,,,39.1,,,,,,,,,,46.3,
Nigeria,,,,,,,,,,,,,,,,,,,,,,67.7,,,,,,,,,,,,66.8,,,76.1,,61.3,,,,,,,,,,71.3,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.8,,,,78.1,,,,,,,,,,82.4,,,,,,,,
Nepal,,,,,,,,,,,,31.7,,,,,,,,,,49.2,,,,,,,,,,62.7,,,,,,,,,,71.7,,,,,,,,,,81,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9,,,,,90,,90.2,,,,,96.6,,97,97,,,,98.6,
Pakistan,,,,,,,,,,,,35.4,,,,,,,,,,,,,,,,,55.3,,,,,,,64.1,67.7,65,68.9,68.6,68.9,67,69.9,68.6,69.1,,,71.1,69.3,69.3,,,,
Panama,,,,,,,,,,,88.1,,,,,,,,,,89.3,,,,,,,,,,92.5,,,,,,,,,,94.7,,,,,,,,96,96.1,,,,
Peru,,,,,,,,,,,,90.1,,,,,,,,,,,,92.9,,,,,,,,,,,93.5,93.7,94.2,94.9,,,,,97,,96.9,97.1,97.2,97,97.1,,97,,,
Philippines,,,,,,,,,,,83.9,,,,,,,,,,94,,,,93.3,,,,,,92.5,,,91.6,,,,,95,,,,,96,,98.1,,,,95.7,98.4,,,
Palau,,,,,,,,,,,93.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5,,96.8,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4,,,,,,,,,,65.3,,,,,,,,,,,,,
Poland,,,,,,,,,99.3,,,,,,,,,,99.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,
Puerto Rico,,,,,,,,,,,87.7,,,,,,,,,,89.5,,,,,,,,,,,,,,,,,,,,91.3,,,,,,,92.4,,,,92.4,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,
Portugal,,,,,,,,,,,,84.8,,,,,,,,,,91.6,,,,,,,,,,,,,,,,,,,,96.3,,,,,,,,,,97.8,,
Paraguay,,,,,,,,,,,,,81.1,,,,,,,,,,92,,,,,,,,,,,,,,,95.7,94.1,94.4,94.8,,94.8,95.7,95.9,96.3,95.5,,94.5,93.8,94.9,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.2,,,,,,,96.1,,97.1,97.1,97.2,97.3,97.5,97.7,98.1,98.3,98.3,98.4,98.5,98.5,98.7,98.8,98.8,,98.9,
Qatar,,,,,,,,,,,,,,,,,76.8,,,,,,,,,,,84.2,,,,,,,89.1,,,93.8,94.3,95.1,96.5,96.6,96.9,97.6,97.8,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,98.5,,,,,,,,,,98.4,,,,,,,,,99,,,,,,,,,,99,,
Russia,,,,,,,,,,,,,,,,,,,,99.5,,,,,,,,,,,,,99.7,,,,,,,,99.7,,,,,,,,,,,99.9,,
Rwanda,,,,,,,,,50.8,,,,,,,,,,,,,,,,,,,,,,71.4,,,,,,,,,,71.1,,,,76.1,,,,77.6,,,,81,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,87.1,,,,87.5,,,,,,,,,96.5,,,,97.1,,,98.6,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.6,,,,,,,,59.8,,,,,,,,,,65.4,,,,,
Senegal,,,,,,,,,,,,,,,,,,,36.9,,,,,,,,,,,,,,51.1,,,,52.3,,,59.8,,66,,53.9,,,,64.8,,,,,69.1,
Singapore,,,,,,,,,,,91.6,,,,,,,,,,95.1,,,,,,,,,,96.6,,,,,,,,,,98,98.4,98.5,98.5,98.6,98.6,98.7,98.8,98.9,98.9,98.5,98.9,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7,,,,,,,,,41.3,,,,,,,,,56,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,77.4,,,,,,,,,,,,,,86.7,84.9,87.1,86.8,87.1,88.4,,89.2,,90,90.3,90.6,91.1,91.3,91.7,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,
Somalia,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,
