country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Mauritius,,,,,,,,,,,,,,,,,,,,,74.7,,,,,,,,,,80.5,,,,,,,,,,,86.7,89,89.1,90.3,90.7,91,,,,,90.5,,
Malawi,,,,,,,,,,,,,,,,,,33.5,,,,,,,,,,,54,,,,,,,,,,,,51.3,,,,55.1,55.2,,,,,,,65.1,
Malaysia,,,,,,,,,,,61.2,,,,,,,,,,,77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,83.5,,,,,,78.4,,,,88,,,,,,,,,,92.3,,
New Caledonia,,,,,,,90.3,,,,,,,,,,,,,92.1,,,,,,,95.5,,,,,,,,,,96.9,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,15.1,,,,,,,22.6,,,,,,,,,,29.7,
Nigeria,,,,,,,,,,,,,,,,,,,,,,43.7,,,,,,,,,,,,43.3,,,64.3,,41.4,,,,,,,,,,52.7,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.6,,,,77.9,,,,,,,,,,82.8,,,,,,,,
Nepal,,,,,,,,,,,,9.15,,,,,,,,,,17.4,,,,,,,,,,34.9,,,,,,,,,,48.8,,,,,,,,,,63.3,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.5,,,,,80.9,,81.8,,,,,86,,92.2,92.7,,,,94.9,
Pakistan,,,,,,,,,,,,14.8,,,,,,,,,,,,,,,,,29,,,,,,,35.4,39.6,38.5,40.1,40.3,41,42,43.1,42,44.3,,,46.5,45.4,46.5,,,,
Panama,,,,,,,,,,,88,,,,,,,,,,88.2,,,,,,,,,,91.2,,,,,,,,,,93.5,,,,,,,,94.9,95.4,,,,
Peru,,,,,,,,,,,,73.9,,,,,,,,,,,,81.7,,,,,,,,,,,82.1,82.5,83.5,84.6,,,,,90.7,,90.4,91.2,91.2,91.3,91.7,,92,,,
Philippines,,,,,,,,,,,82.8,,,,,,,,,,93.2,,,,94.5,,,,,,92.7,,,93.6,,,,,95.8,,,,,96.8,,98.2,,,,96.9,98.5,,,
Palau,,,,,,,,,,,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5,,96.3,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9,,,,,,,,,,57.9,,,,,,,,,,,,,
Poland,,,,,,,,,98.3,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,
Puerto Rico,,,,,,,,,,,85.9,,,,,,,,,,89.7,,,,,,,,,,,,,,,,,,,,92.5,,,,,,,92.4,,,,92.4,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,
Portugal,,,,,,,,,,,,74.6,,,,,,,,,,84.7,,,,,,,,,,,,,,,,,,,,92.9,,,,,,,,,,95.9,,
Paraguay,,,,,,,,,,,,,75.9,,,,,,,,,,88.6,,,,,,,,,,,,,,,93.5,92.5,93.1,92.9,,93.6,94.5,94.2,94.9,93.8,,93.5,92.7,94.2,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.8,,,,,,,88.8,,89.8,90.3,90.8,91.5,91.8,92.2,93.2,93.8,94.1,94.5,94.9,95.3,95.7,95.9,96.2,,96.7,
Qatar,,,,,,,,,,,,,,,,,72.5,,,,,,,,,,,80.9,,,,,,,88.6,,,90.4,92.7,92.9,95.4,95.6,95.8,97.1,97.6,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,96.3,,,,,,,,,98.2,,,,,,,,,,99.3,,
Russia,,,,,,,,,,,,,,,,,,,,96.8,,,,,,,,,,,,,99.2,,,,,,,,99.6,,,,,,,,,,,99.9,,
Rwanda,,,,,,,,,26.6,,,,,,,,,,,,,,,,,,,,,,59.8,,,,,,,,,,61.5,,,,66.1,,,,69.4,,,,76.7,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,57.3,,,,,,,,69.3,,,,76.3,,,,,,,,,91.4,,,,92.7,,,96,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1,,,,,,,,46.7,,,,,,,,,,56.1,,,,,
Senegal,,,,,,,,,,,,,,,,,,,17.9,,,,,,,,,,,,,,29.2,,,,33,,,37.4,,40.3,,33.8,,,,39.8,,,,,47.1,
Singapore,,,,,,,,,,,74,,,,,,,,,,83,,,,,,,,,,88.6,,,,,,,,,,93.8,94.1,94.4,94.6,94.9,95.2,95.4,95.7,95.9,96.1,95.8,96.4,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,,,,,,,,,24.9,,,,,,,,,41.3,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,71.3,,,,,,,,,,,,,,81,79.7,81.4,81.8,82.3,83,,84.7,,86.2,86.3,86.7,87.2,87.3,88.5,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,
Somalia,,,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,
